

 + Main results

   HIT=	57,8 	MPa *not real
   EIT=	24 	GPa *not real
   E*=	2	GPa *not real

 + Hypothesis

   Poisson's ratio(nu)=	0,1 

 + Additional results

   HVIT=	 	 Vickers
   CIT	3,29 	%
   nIT=	
   Fmax=	1,00 	mN
   hmax=	0,8
   S=	=
   F/S²=	==
   hc= 100 	nm
   hr=	85 	nm
   hp=	61 	nm
   m=	1,7323 
   Epsilon=	0,74 
   R2=	0,999
   Ap=	109 	nm²
   Welast=	5,68 pJ
   Wplast=	25,79 pJ
   Wtotal=	31,47 pJ
   Er=	220 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
19,5394	60,1371	0,6521	0,5004	1
19,6041	60,261	0,6543	0,5004	1
19,6688	60,3736	0,6564	0,5004	1
19,7335	60,4872	0,6586	0,5004	1
19,7982	60,6016	0,6608	0,5003	1
19,8629	60,7118	0,6629	0,5003	1
19,9276	60,8202	0,6651	0,5003	1
19,9923	60,9263	0,6672	0,5003	1
20,057	61,0277	0,6694	0,5004	1
20,1217	61,1365	0,6716	0,5004	1
20,1864	61,2613	0,6737	0,5004	1
20,2511	61,3983	0,6758	0,5004	1
20,3158	61,5394	0,678	0,5003	1
20,3805	61,6831	0,6801	0,5003	1
20,4452	61,8472	0,6823	0,5003	1
20,5099	62,0225	0,6844	0,5004	1
20,5746	62,2105	0,6866	0,5004	1
20,6393	62,3697	0,6888	0,5004	1
20,704	62,5091	0,691	0,5003	1
20,7687	62,631	0,6931	0,5004	1
20,8334	62,7447	0,6952	0,5004	1
20,8981	62,8508	0,6974	0,5004	1
20,9628	62,9483	0,6996	0,5004	1
21,0275	63,047	0,7017	0,5004	1
21,0922	63,1477	0,7039	0,5004	1
21,1569	63,2685	0,706	0,5004	1
21,2216	63,3992	0,7081	0,5004	1
21,2863	63,544	0,7103	0,5004	1
21,351	63,6691	0,7125	0,5004	1
26,4623	72,6644	0,8828	0,5003	1
26,527	72,7827	0,885	0,5003	1
26,5917	72,8982	0,8872	0,5003	1
26,6564	73,0236	0,8893	0,5003	1
26,7211	73,1483	0,8914	0,5003	1
26,7858	73,2688	0,8936	0,5003	1
26,8505	73,3837	0,8958	0,5004	1
26,9152	73,4966	0,898	0,5004	1
26,9799	73,6085	0,9001	0,5004	1
27,0446	73,7125	0,9022	0,5004	1
27,1093	73,8129	0,9044	0,5004	1
27,174	73,9126	0,9066	0,5004	1
27,2387	74,0174	0,9087	0,5004	1
27,3034	74,126	0,9108	0,5004	1
27,3681	74,2409	0,913	0,5003	1
27,4328	74,3446	0,9152	0,5003	1
27,4975	74,4373	0,9174	0,5003	1
27,5622	74,5139	0,9196	0,5003	1
27,6269	74,5891	0,9217	0,5003	1
27,6916	74,6635	0,9239	0,5003	1
27,7563	74,741	0,926	0,5003	1
27,821	74,8254	0,9282	0,5003	1
27,8857	74,9231	0,9303	0,5003	1
27,9504	75,0259	0,9324	0,5003	1
28,0151	75,1305	0,9346	0,5003	1
28,0798	75,2361	0,9368	0,5003	1
28,1445	75,3375	0,9389	0,5003	1
28,2092	75,4383	0,9411	0,5003	1
28,2739	75,5459	0,9432	0,5003	1
