

 + Main results

   HIT=	5379,5 	MPa
   EIT=	230,06 	GPa
   E*=	252,82 	GPa

 + Hypothesis

   Poisson's ratio(nu)=	0,30 

 + Additional results

   HVIT=	498,2 	 Vickers
   CIT 0,001/30/5=	2,94 	%
   nIT=	18,21 %
   Fmax=	1,00 	mN
   hmax=	81,81 	nm
   S=	0,1043 	mN/nm
   F/S²=	92,0985 	nm²/mN
   hc=	74,73 	nm
   hr=	72,20 	nm
   hp=	65,21 	nm
   m=	1,7289 
   Epsilon=	0,74 
   R2=	1,000
   Ap=	186111,61 	nm²
   Welast=	5,85 pJ
   Wplast=	26,29 pJ
   Wtotal=	32,14 pJ
   Er=	207,14 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID

0	0	0	0,5001	0
0,0647	2,0411	0,0003	0,5001	0
0,1294	3,8354	0,0012	0,5001	1
0,1941	5,3333	0,0029	0,5001	1
0,2588	6,3071	0,006	0,5001	1
0,3235	7,1597	0,0093	0,5001	1
0,3882	7,892	0,013	0,5001	1
0,4529	8,4915	0,0158	0,5001	1
0,5176	9,011	0,0182	0,5001	1
0,5823	9,3954	0,02	0,5001	1
0,647	9,7825	0,022	0,5001	1
0,7117	10,1722	0,0241	0,5001	1
0,7764	10,5692	0,0262	0,5	1
0,8411	11,0011	0,0283	0,5	1
0,9058	11,4519	0,0305	0,5001	1
0,9705	11,891	0,0327	0,5001	1
1,0352	12,2949	0,0348	0,5001	1
1,0999	12,6693	0,037	0,5001	1
1,1646	13,0461	0,0392	0,5001	1
1,2293	13,4001	0,0414	0,5001	1
1,294	13,7262	0,0435	0,5001	1
1,3587	14,0256	0,0457	0,5001	1
1,4234	14,3286	0,0479	0,5001	1
1,4881	14,6428	0,05	0,5001	1
1,5528	14,9226	0,0522	0,5001	1
1,6175	15,207	0,0543	0,5001	1
1,6822	15,5246	0,0565	0,5001	1
1,7469	15,8862	0,0586	0,5001	1
1,8116	16,2587	0,0607	0,5001	1
1,8763	16,6042	0,0629	0,5001	1
1,941	16,8927	0,0652	0,5001	1
2,0057	17,1472	0,0674	0,5001	1
2,0704	17,3892	0,0695	0,5001	1
2,1351	17,6444	0,0716	0,5001	1
2,1998	17,9108	0,0737	0,5001	1
2,2645	18,1515	0,076	0,5001	1
2,3292	18,3824	0,0782	0,5001	1
2,3939	18,6016	0,0803	0,5001	1
2,4586	18,8193	0,0824	0,5001	1
2,5233	19,0278	0,0846	0,5001	1
2,588	19,2203	0,0868	0,5001	1
2,6527	19,3793	0,089	0,5001	1
2,7174	19,5366	0,0911	0,5001	1
2,7821	19,7096	0,0933	0,5	1
2,8468	19,8728	0,0955	0,5	1
2,9115	20,0336	0,0976	0,5	1
2,9762	20,2003	0,0997	0,5	1
3,0409	20,4011	0,1018	0,5001	1
3,1056	20,6226	0,104	0,5001	1
3,1703	20,8548	0,1062	0,5001	1
3,235	21,0746	0,1083	0,5001	1
3,2997	21,2841	0,1104	0,5001	1
3,3644	21,5205	0,1125	0,5001	1
3,4291	21,7829	0,1147	0,5001	1
3,4938	22,0767	0,1168	0,5001	1
3,5585	22,363	0,119	0,5001	1
3,6232	22,6245	0,1212	0,5001	1
3,6879	22,8429	0,1234	0,5001	1
3,7526	23,0455	0,1255	0,5001	1
3,8173	23,2618	0,1276	0,5001	1
3,882	23,5255	0,1298	0,5001	1
3,9467	23,8209	0,1319	0,5001	1
4,0114	24,1148	0,1341	0,5001	1
4,0761	24,3437	0,1363	0,5001	1
4,1408	24,5329	0,1385	0,5001	1
4,2055	24,7003	0,1407	0,5001	1
4,2702	24,8848	0,1429	0,5001	1
4,3349	25,0703	0,145	0,5	1
4,3996	25,2567	0,147	0,5	1
4,4643	25,4316	0,1493	0,5001	1
4,529	25,5941	0,1515	0,5001	1
4,5937	25,7417	0,1536	0,5	1
4,6584	25,8931	0,1557	0,5	1
4,7231	26,0447	0,1579	0,5001	1
4,7878	26,196	0,1602	0,5001	1
4,8525	26,3461	0,1622	0,5001	1
4,9172	26,505	0,1643	0,5001	1
4,9819	26,6893	0,1665	0,5001	1
5,0466	26,8774	0,1687	0,5001	1
5,1113	27,0716	0,1708	0,5001	1
5,176	27,2872	0,1729	0,5001	1
5,2407	27,5346	0,1751	0,5001	1
5,3054	27,7982	0,1772	0,5001	1
5,3701	28,0344	0,1793	0,5001	1
5,4348	28,2393	0,1815	0,5001	1
5,4995	28,4173	0,1837	0,5001	1
5,5642	28,6178	0,1859	0,5001	1
5,6289	28,8356	0,188	0,5001	1
5,6936	29,0747	0,1902	0,5001	1
5,7583	29,3044	0,1924	0,5001	1
5,823	29,5183	0,1945	0,5	1
5,8877	29,7056	0,1967	0,5	1
5,9524	29,9074	0,1988	0,5	1
6,0171	30,1228	0,201	0,5	1
6,0818	30,3668	0,203	0,5	1
6,1465	30,6144	0,2052	0,5	1
6,2112	30,8624	0,2074	0,5	1
6,2759	31,1045	0,2096	0,5	1
6,3406	31,3461	0,2117	0,5	1
6,4053	31,5902	0,2138	0,5001	1
6,47	31,8675	0,216	0,5001	1
6,5347	32,1564	0,2182	0,5001	1
6,5994	32,4552	0,2202	0,5001	1
6,6641	32,6761	0,2225	0,5001	1
6,7288	32,8785	0,2247	0,5	1
6,7935	33,0587	0,2269	0,5	1
6,8582	33,2384	0,229	0,5001	1
6,9229	33,4189	0,2312	0,5001	1
6,9876	33,6007	0,2333	0,5001	1
7,0523	33,7759	0,2355	0,5	1
7,117	33,9507	0,2376	0,5	1
7,1817	34,1289	0,2398	0,5	1
7,2464	34,3181	0,242	0,5	1
7,3111	34,5045	0,2442	0,5	1
7,3758	34,6563	0,2464	0,5001	1
7,4405	34,7893	0,2485	0,5	1
7,5052	34,9107	0,2507	0,5	1
7,5699	35,0291	0,2528	0,5	1
7,6346	35,1476	0,255	0,5001	1
7,6993	35,266	0,2571	0,5001	1
7,764	35,3959	0,2593	0,5001	1
7,8287	35,5306	0,2614	0,5001	1
7,8934	35,6712	0,2636	0,5001	1
7,9581	35,8199	0,2657	0,5001	1
8,0228	35,9719	0,2679	0,5	1
8,0875	36,1282	0,27	0,5001	1
8,1522	36,3128	0,2721	0,5001	1
8,2169	36,5055	0,2743	0,5001	1
8,2816	36,7017	0,2764	0,5001	1
8,3463	36,8587	0,2786	0,5001	1
8,411	36,9949	0,2809	0,5001	1
8,4757	37,105	0,2829	0,5001	1
8,5404	37,2121	0,2851	0,5001	1
8,6051	37,3188	0,2874	0,5001	1
8,6698	37,4411	0,2895	0,5001	1
8,7345	37,573	0,2916	0,5001	1
8,7992	37,7133	0,2937	0,5001	1
8,8639	37,8512	0,296	0,5001	1
8,9286	37,9819	0,2982	0,5	1
8,9933	38,1036	0,3002	0,5	1
9,058	38,2277	0,3023	0,5001	1
9,1227	38,3626	0,3045	0,5001	1
9,1874	38,5166	0,3067	0,5001	1
9,2521	38,6793	0,3088	0,5001	1
9,3168	38,8402	0,3109	0,5001	1
9,3815	38,9898	0,3131	0,5001	1
9,4462	39,1412	0,3153	0,5001	1
9,5109	39,2921	0,3174	0,5001	1
9,5756	39,4371	0,3196	0,5001	1
9,6403	39,5853	0,3218	0,5001	1
9,705	39,7351	0,3239	0,5001	1
9,7697	39,8807	0,3261	0,5001	1
9,8344	40,0126	0,3283	0,5001	1
9,8991	40,1324	0,3304	0,5001	1
9,9638	40,2612	0,3326	0,5001	1
10,0285	40,3964	0,3347	0,5001	1
10,0932	40,5395	0,3369	0,5001	1
10,1579	40,7761	0,3389	0,5001	1
10,2226	41,0661	0,341	0,5001	1
10,2873	41,4356	0,3431	0,5001	1
10,352	41,7367	0,3453	0,5001	1
10,4167	42,0046	0,3476	0,5001	1
10,4814	42,2252	0,3497	0,5001	1
10,5461	42,4794	0,3518	0,5001	1
10,6108	42,7454	0,354	0,5001	1
10,6755	43,003	0,356	0,5001	1
10,7402	43,2567	0,3583	0,5001	1
10,8049	43,5048	0,3605	0,5001	1
10,8696	43,7142	0,3627	0,5001	1
10,9343	43,8956	0,3648	0,5001	1
10,999	44,0522	0,3671	0,5001	1
11,0637	44,1783	0,3693	0,5001	1
11,1284	44,3038	0,3714	0,5001	1
11,1931	44,4291	0,3735	0,5001	1
