

 + Main results

   HIT=	5379,5 	MPa
   EIT=	230,06 	GPa
   E*=	252,82 	GPa

 + Hypothesis

   Poisson's ratio(nu)=	0,30 

 + Additional results

   HVIT=	498,2 	 Vickers
   CIT 0,001/30/5=	2,94 	%
   nIT=	18,21 %
   Fmax=	1,00 	mN
   hmax=	81,81 	nm
   S=	0,1043 	mN/nm
   F/S²=	92,0985 	nm²/mN
   hc=	74,73 	nm
   hr=	72,20 	nm
   hp=	65,21 	nm
   m=	1,7289 
   Epsilon=	0,74 
   R2=	1,000
   Ap=	186111,61 	nm²
   Welast=	5,85 pJ
   Wplast=	26,29 pJ
   Wtotal=	32,14 pJ
   Er=	207,14 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
11,2578	44,585	0,3757	0,5001	1
11,3225	44,7415	0,3779	0,5001	1
11,3872	44,8922	0,38	0,5001	1
11,4519	45,0231	0,3821	0,5001	1
11,5166	45,1438	0,3843	0,5	1
11,5813	45,249	0,3865	0,5	1
11,646	45,3426	0,3887	0,5001	1
11,7107	45,4322	0,3908	0,5001	1
11,7754	45,5255	0,3929	0,5001	1
11,8401	45,6176	0,3951	0,5001	1
11,9048	45,7095	0,3973	0,5001	1
11,9695	45,8067	0,3995	0,5001	1
12,0342	45,9049	0,4016	0,5001	1
12,0989	46,0039	0,4037	0,5001	1
12,1636	46,1067	0,4059	0,5001	1
12,2283	46,2155	0,4081	0,5001	1
12,293	46,3321	0,4102	0,5001	1
12,3577	46,4542	0,4123	0,5001	1
12,4224	46,5759	0,4145	0,5001	1
12,4871	46,6958	0,4166	0,5001	1
12,5518	46,8197	0,4188	0,5001	1
12,6165	46,9555	0,4209	0,5001	1
12,6812	47,1239	0,4231	0,5001	1
12,7459	47,2961	0,4252	0,5	1
12,8106	47,4668	0,4274	0,5	1
12,8753	47,6219	0,4296	0,5001	1
12,94	47,775	0,4318	0,5001	1
13,0047	47,9263	0,4339	0,5001	1
13,0694	48,0698	0,436	0,5001	1
13,1341	48,2105	0,4382	0,5001	1
13,1988	48,3488	0,4403	0,5001	1
13,2635	48,4815	0,4425	0,5001	1
13,3282	48,6083	0,4447	0,5001	1
13,3929	48,7278	0,4468	0,5001	1
13,4576	48,8521	0,449	0,5001	1
13,5223	48,978	0,4512	0,5001	1
13,587	49,1057	0,4533	0,5001	1
13,6517	49,2179	0,4554	0,5001	1
13,7164	49,3263	0,4576	0,5001	1
13,7811	49,4348	0,4598	0,5001	1
13,8458	49,5578	0,462	0,5001	1
13,9105	49,6867	0,4641	0,5001	1
13,9752	49,8158	0,4662	0,5001	1
14,0399	49,9332	0,4684	0,5001	1
14,1046	50,0421	0,4706	0,5001	1
14,1693	50,1335	0,4727	0,5001	1
14,234	50,2295	0,4748	0,5001	1
14,2987	50,3297	0,477	0,5001	1
14,3634	50,4276	0,4792	0,5001	1
14,4281	50,5266	0,4813	0,5001	1
14,4928	50,6273	0,4835	0,5001	1
14,5575	50,7313	0,4856	0,5001	1
14,6222	50,8347	0,4878	0,5001	1
14,6869	50,9358	0,49	0,5001	1
14,7516	51,0472	0,4922	0,5001	1
14,8163	51,1641	0,4943	0,5001	1
14,881	51,2901	0,4964	0,5001	1
14,9457	51,42	0,4986	0,5001	1
15,0104	51,5505	0,5007	0,5001	1
15,0751	51,6754	0,5029	0,5001	1
15,1398	51,8097	0,505	0,5001	1
15,2045	51,9514	0,5072	0,5001	1
15,2692	52,1117	0,5093	0,5001	1
15,3339	52,2747	0,5114	0,5001	1
15,3986	52,4401	0,5136	0,5001	1
15,4633	52,5731	0,5158	0,5001	1
15,528	52,7037	0,518	0,5001	1
15,5927	52,8322	0,5201	0,5001	1
15,6574	52,9657	0,5223	0,5001	1
15,7221	53,0943	0,5244	0,5001	1
15,7868	53,212	0,5266	0,5001	1
15,8515	53,3276	0,5287	0,5001	1
15,9162	53,4458	0,5309	0,5001	1
15,9809	53,5735	0,5331	0,5001	1
16,0456	53,7192	0,5352	0,5001	1
16,1103	53,8704	0,5373	0,5001	1
16,175	54,0106	0,5395	0,5001	1
16,2397	54,1409	0,5417	0,5001	1
16,3044	54,2659	0,5439	0,5001	1
16,3691	54,4036	0,546	0,5001	1
16,4338	54,539	0,5481	0,5001	1
16,4985	54,6724	0,5503	0,5001	1
16,5632	54,8034	0,5525	0,5001	1
16,6279	54,9427	0,5546	0,5001	1
16,6926	55,093	0,5567	0,5001	1
16,7573	55,275	0,5589	0,5001	1
16,822	55,4559	0,5611	0,5001	1
16,8867	55,6267	0,5632	0,5001	1
16,9514	55,8188	0,5653	0,5001	1
17,0161	56,018	0,5675	0,5001	1
17,0808	56,2218	0,5697	0,5001	1
17,1455	56,3952	0,5719	0,5001	1
17,2102	56,5501	0,574	0,5001	1
17,2749	56,6744	0,5763	0,5001	1
17,3396	56,7799	0,5784	0,5001	1
17,4043	56,8731	0,5805	0,5001	1
17,469	56,9618	0,5827	0,5001	1
17,5337	57,0615	0,5848	0,5001	1
17,5984	57,1712	0,5871	0,5001	1
17,6631	57,2821	0,5891	0,5001	1
17,7278	57,3946	0,5912	0,5001	1
17,7925	57,5091	0,5935	0,5001	1
17,8572	57,614	0,5957	0,5	1
17,9219	57,7141	0,5978	0,5	1
17,9866	57,8071	0,5999	0,5	1
18,0513	57,918	0,6021	0,5	1
18,116	58,0339	0,6043	0,5001	1
18,1807	58,1501	0,6063	0,5	1
18,2454	58,2547	0,6085	0,5001	1
18,3101	58,3564	0,6107	0,5001	1
18,3748	58,4689	0,6129	0,5001	1
18,4395	58,5915	0,615	0,5001	1
18,5042	58,7202	0,6171	0,5001	1
18,5689	58,8452	0,6193	0,5001	1
18,6336	58,972	0,6215	0,5001	1
18,6983	59,1005	0,6236	0,5	1
18,763	59,2253	0,6258	0,5	1
18,8277	59,3547	0,6279	0,5	1
18,8924	59,4903	0,63	0,5	1
18,9571	59,6318	0,6322	0,5	1
19,0218	59,7696	0,6344	0,5	1
19,0865	59,8988	0,6365	0,5	1
19,1512	60,024	0,6387	0,5	1
19,2159	60,1507	0,641	0,5001	1
19,2806	60,2857	0,6431	0,5001	1
19,3453	60,4217	0,6452	0,5001	1
19,41	60,5556	0,6473	0,5001	1
19,4747	60,6754	0,6495	0,5001	1
19,5394	60,8047	0,6517	0,5	1
19,6041	60,9392	0,6538	0,5	1
19,6688	61,0585	0,6559	0,5	1
19,7335	61,1874	0,6581	0,5	1
19,7982	61,3251	0,6602	0,5	1
19,8629	61,4644	0,6623	0,5001	1
19,9276	61,5914	0,6645	0,5001	1
19,9923	61,7018	0,6668	0,5001	1
20,057	61,8075	0,6689	0,5001	1
20,1217	61,919	0,6711	0,5	1
20,1864	62,0432	0,6733	0,5	1
20,2511	62,1715	0,6754	0,5001	1
20,3158	62,3031	0,6776	0,5001	1
20,3805	62,4413	0,6797	0,5001	1
20,4452	62,5823	0,6818	0,5001	1
20,5099	62,7254	0,6839	0,5001	1
20,5746	62,8735	0,6861	0,5001	1
20,6393	63,015	0,6883	0,5	1
20,704	63,1523	0,6905	0,5001	1
20,7687	63,2908	0,6926	0,5001	1
20,8334	63,4248	0,6947	0,5001	1
20,8981	63,5546	0,6969	0,5001	1
20,9628	63,6871	0,6991	0,5001	1
21,0275	63,8149	0,7012	0,5001	1
21,0922	63,9361	0,7033	0,5	1
21,1569	64,0648	0,7056	0,5001	1
21,2216	64,1947	0,7077	0,5001	1
21,2863	64,325	0,7098	0,5001	1
21,351	64,4511	0,712	0,5001	1
21,4157	64,5769	0,7142	0,5001	1
21,4804	64,7052	0,7164	0,5001	1
21,5451	64,8419	0,7185	0,5001	1
21,6098	64,9852	0,7206	0,5001	1
21,6745	65,1453	0,7228	0,5001	1
21,7392	65,2824	0,725	0,5001	1
21,8039	65,4031	0,7271	0,5	1
21,8686	65,5034	0,7293	0,5001	1
21,9333	65,6099	0,7315	0,5001	1
21,998	65,7223	0,7337	0,5001	1
22,0627	65,8254	0,7357	0,5001	1
22,1274	65,9254	0,7379	0,5001	1
22,1921	66,0218	0,7401	0,5001	1
22,2568	66,1222	0,7422	0,5001	1
22,3215	66,221	0,7444	0,5001	1
22,3862	66,3154	0,7466	0,5001	1
22,4509	66,4184	0,7487	0,5001	1
22,5156	66,5316	0,7508	0,5001	1
22,5803	66,6688	0,753	0,5001	1
22,645	66,8014	0,7551	0,5001	1
22,7097	66,9299	0,7573	0,5001	1
22,7744	67,047	0,7594	0,5001	1
22,8391	67,1528	0,7616	0,5001	1
22,9038	67,2506	0,7638	0,5001	1
22,9685	67,3393	0,766	0,5001	1
23,0332	67,4324	0,7681	0,5001	1
23,0979	67,5295	0,7703	0,5002	1
23,1626	67,6185	0,7725	0,5002	1
23,2273	67,705	0,7746	0,5001	1
23,292	67,7885	0,7767	0,5001	1
23,3567	67,8862	0,7789	0,5001	1
23,4214	67,9896	0,7811	0,5001	1
23,4861	68,1004	0,7832	0,5001	1
23,5508	68,2091	0,7854	0,5002	1
23,6155	68,3239	0,7875	0,5002	1
23,6802	68,4598	0,7896	0,5002	1
23,7449	68,6053	0,7917	0,5002	1
23,8096	68,7527	0,7939	0,5001	1
23,8743	68,8869	0,7961	0,5002	1
23,939	69,01	0,7983	0,5001	1
24,0037	69,1257	0,8004	0,5001	1
24,0684	69,2399	0,8026	0,5001	1
24,1331	69,3658	0,8047	0,5001	1
24,1978	69,5029	0,8069	0,5001	1
24,2625	69,6271	0,8091	0,5001	1
24,3272	69,7442	0,8112	0,5001	1
24,3919	69,852	0,8134	0,5001	1
24,4566	69,9519	0,8155	0,5001	1
24,5213	70,0508	0,8177	0,5001	1
24,586	70,1501	0,8199	0,5001	1
24,6507	70,2419	0,822	0,5001	1
24,7154	70,3296	0,8242	0,5002	1
24,7801	70,4107	0,8263	0,5002	1
24,8448	70,4879	0,8285	0,5001	1
24,9095	70,5656	0,8307	0,5001	1
24,9742	70,6564	0,8329	0,5001	1
25,0389	70,7561	0,835	0,5001	1
25,1036	70,8621	0,837	0,5001	1
25,1683	70,9764	0,8392	0,5002	1
25,233	71,0894	0,8414	0,5002	1
25,2977	71,201	0,8436	0,5002	1
25,3624	71,3047	0,8457	0,5001	1
25,4271	71,4045	0,8478	0,5001	1
25,4918	71,4993	0,8501	0,5001	1
25,5565	71,612	0,8522	0,5001	1
25,6212	71,7318	0,8543	0,5001	1
25,6859	71,8612	0,8565	0,5001	1
25,7506	71,9821	0,8587	0,5001	1
25,8153	72,097	0,8608	0,5001	1
25,88	72,2002	0,8629	0,5001	1
25,9447	72,2954	0,8651	0,5001	1
26,0094	72,3867	0,8673	0,5001	1
26,0741	72,4758	0,8695	0,5001	1
26,1388	72,5702	0,8716	0,5001	1
26,2035	72,6675	0,8738	0,5001	1
26,2682	72,7555	0,876	0,5001	1
26,3329	72,8382	0,8781	0,5001	1
26,3976	72,9158	0,8802	0,5001	1
26,4623	73,0138	0,8823	0,5001	1
26,527	73,1236	0,8845	0,5001	1
26,5917	73,2489	0,8867	0,5001	1
26,6564	73,3695	0,8888	0,5001	1
26,7211	73,4847	0,891	0,5001	1
26,7858	73,5906	0,8932	0,5001	1
26,8505	73,6944	0,8954	0,5001	1
26,9152	73,802	0,8975	0,5001	1
26,9799	73,9237	0,8996	0,5001	1
27,0446	74,0457	0,9018	0,5001	1
27,1093	74,1671	0,904	0,5001	1
27,174	74,2843	0,9061	0,5001	1
27,2387	74,3861	0,9082	0,5001	1
27,3034	74,4789	0,9104	0,5001	1
27,3681	74,5982	0,9127	0,5001	1
27,4328	74,7529	0,9147	0,5001	1
27,4975	74,9421	0,9166	0,5	1
27,5622	75,1439	0,9189	0,5	1
27,6269	75,3304	0,9212	0,5001	1
27,6916	75,4946	0,9233	0,5001	1
27,7563	75,6456	0,9254	0,5	1
27,821	75,7934	0,9275	0,5	1
27,8857	75,9386	0,9299	0,5001	1
27,9504	76,0753	0,932	0,5001	1
28,0151	76,2036	0,9341	0,5001	1
28,0798	76,3117	0,9363	0,5001	1
28,1445	76,4117	0,9384	0,5001	1
28,2092	76,5089	0,9406	0,5001	1
28,2739	76,6122	0,9427	0,5001	1
28,3386	76,7174	0,9449	0,5001	1
28,4033	76,8241	0,947	0,5001	1
28,468	76,9364	0,9493	0,5001	1
28,5327	77,0458	0,9514	0,5001	1
28,5974	77,1524	0,9535	0,5001	1
28,6621	77,2581	0,9557	0,5001	1
28,7268	77,3738	0,9579	0,5001	1
28,7915	77,5038	0,9601	0,5001	1
28,8562	77,6436	0,9621	0,5001	1
28,9209	77,7874	0,9642	0,5001	1
28,9856	77,9364	0,9664	0,5001	1
29,0503	78,1048	0,9685	0,5001	1
29,115	78,276	0,9707	0,5001	1
29,1797	78,4383	0,9728	0,5001	1
29,2444	78,5776	0,9751	0,5001	1
29,3091	78,7036	0,9773	0,5001	1
29,3738	78,8126	0,9795	0,5001	1
29,4385	78,9221	0,9816	0,5001	1
29,5032	79,0316	0,9837	0,5001	1
29,5679	79,1362	0,9859	0,5001	1
29,6326	79,235	0,988	0,5001	2
29,6973	79,328	0,9902	0,5001	2
29,762	79,4382	0,9923	0,5001	2
29,8267	79,5584	0,9945	0,5001	2
29,8914	79,6919	0,9967	0,5001	2
29,9561	79,8028	0,9986	0,5001	2
30,0208	79,9016	1,0001	0,5001	2
30,0855	79,9825	1,001	0,5001	2
30,1502	80,0591	1,0012	0,5001	2
30,2149	80,132	1,0013	0,5001	2
30,2796	80,1964	1,0013	0,5001	2
30,3443	80,2541	1,0013	0,5001	2
30,409	80,3081	1,0013	0,5001	2
30,4737	80,3577	1,0013	0,5001	2
30,5384	80,401	1,0013	0,5001	2
30,6031	80,4397	1,0013	0,5001	2
30,6678	80,4776	1,0013	0,5001	2
30,7325	80,5174	1,0013	0,5001	2
30,7972	80,559	1,0012	0,5001	2
30,8619	80,5924	1,0013	0,5001	2
30,9266	80,6221	1,0013	0,5001	2
30,9913	80,6471	1,0014	0,5	2
31,056	80,6722	1,0013	0,5	2
31,1207	80,698	1,0013	0,5001	2
31,1854	80,7256	1,0014	0,5001	2
31,2501	80,7621	1,0013	0,5001	2
31,3148	80,7986	1,0013	0,5001	2
31,3795	80,8264	1,0013	0,5001	2
31,4442	80,8459	1,0013	0,5001	2
31,5089	80,8622	1,0013	0,5001	2
31,5736	80,8824	1,0013	0,5001	2
31,6383	80,9023	1,0013	0,5001	2
31,703	80,9218	1,0014	0,5001	2
31,7677	80,9397	1,0013	0,5	2
31,8324	80,9609	1,0013	0,5	2
31,8971	80,9855	1,0012	0,5001	2
31,9618	81,0119	1,0013	0,5001	2
32,0265	81,0379	1,0013	0,5001	2
32,0912	81,0634	1,0013	0,5	2
32,1559	81,0868	1,0013	0,5	2
32,2206	81,109	1,0013	0,5	2
32,2853	81,1291	1,0013	0,5	2
32,35	81,1464	1,0013	0,5	2
32,4147	81,1632	1,0013	0,5	2
32,4794	81,1812	1,0013	0,5	2
32,5441	81,1981	1,0013	0,5001	2
32,6088	81,2142	1,0013	0,5001	2
32,6735	81,2281	1,0012	0,5	2
32,7382	81,2477	1,0013	0,5	2
32,8029	81,2711	1,0014	0,5	2
32,8676	81,2942	1,0013	0,5	2
32,9323	81,314	1,0013	0,5	2
32,997	81,3305	1,0013	0,5001	2
33,0617	81,3484	1,0013	0,5001	2
33,1264	81,3658	1,0013	0,5001	2
33,1911	81,3825	1,0012	0,5001	2
33,2558	81,3983	1,0013	0,5001	2
33,3205	81,4141	1,0013	0,5001	2
33,3852	81,43	1,0013	0,5001	2
33,4499	81,4428	1,0013	0,5001	2
33,5146	81,4524	1,0013	0,5001	2
33,5793	81,4542	1,0012	0,5001	2
33,644	81,4611	1,0013	0,5001	2
33,7087	81,472	1,0014	0,5001	2
33,7734	81,4932	1,0013	0,5001	2
33,8381	81,5087	1,0013	0,5001	2
33,9028	81,5204	1,0013	0,5001	2
33,9675	81,534	1,0013	0,5001	2
34,0322	81,5439	1,0013	0,5001	2
34,0969	81,5498	1,0012	0,5	2
34,1616	81,5576	1,0013	0,5001	2
34,2263	81,5677	1,0013	0,5001	2
34,291	81,5809	1,0013	0,5001	2
34,3557	81,5959	1,0012	0,5001	2
34,4204	81,6092	1,0012	0,5001	2
34,4851	81,6186	1,0013	0,5001	2
34,5498	81,6303	1,0013	0,5001	2
34,6145	81,6436	1,0013	0,5001	3
34,6792	81,6596	1,0012	0,5001	3
34,7439	81,6748	1,0012	0,5001	3
34,8086	81,6888	1,0013	0,5001	3
34,8733	81,6979	1,0013	0,5001	3
34,938	81,7007	1,0011	0,5001	3
35,0027	81,6988	1,0008	0,5001	3
35,0674	81,6945	0,9995	0,5001	3
35,1321	81,6883	0,9979	0,5001	3
35,1968	81,68	0,9958	0,5001	3
35,2615	81,6745	0,9936	0,5001	3
35,3262	81,6655	0,9914	0,5001	3
35,3909	81,6512	0,9893	0,5001	3
35,4556	81,6293	0,9872	0,5001	3
35,5203	81,61	0,985	0,5001	3
35,585	81,5993	0,9828	0,5001	3
35,6497	81,58	0,9807	0,5001	3
35,7144	81,5591	0,9785	0,5001	3
35,7791	81,542	0,9763	0,5	3
35,8438	81,5246	0,9742	0,5	3
35,9085	81,5059	0,972	0,5	3
35,9732	81,4798	0,9699	0,5001	3
36,0379	81,4577	0,9678	0,5001	3
36,1026	81,4384	0,9656	0,5001	3
36,1673	81,4199	0,9634	0,5001	3
36,232	81,4028	0,9613	0,5001	3
36,2967	81,3869	0,9591	0,5001	3
36,3614	81,3724	0,9569	0,5001	3
36,4261	81,3611	0,9548	0,5001	3
36,4908	81,3546	0,9526	0,5001	3
36,5555	81,3266	0,9505	0,5001	3
36,6202	81,2982	0,9483	0,5001	3
36,6849	81,2771	0,9461	0,5001	3
36,7496	81,2611	0,944	0,5001	3
36,8143	81,246	0,9419	0,5001	3
36,879	81,2284	0,9397	0,5001	3
36,9437	81,2119	0,9375	0,5001	3
37,0084	81,1955	0,9354	0,5001	3
37,0731	81,1759	0,9332	0,5001	3
37,1378	81,1522	0,931	0,5001	3
37,2025	81,1258	0,9289	0,5001	3
37,2672	81,1045	0,9267	0,5001	3
37,3319	81,0858	0,9246	0,5001	3
37,3966	81,0696	0,9224	0,5001	3
37,4613	81,0479	0,9202	0,5001	3
37,526	81,0274	0,9181	0,5001	3
37,5907	81,0092	0,916	0,5001	3
37,6554	81,0063	0,9138	0,5001	3
37,7201	80,9993	0,9116	0,5001	3
37,7848	80,9779	0,9095	0,5001	3
37,8495	80,9414	0,9074	0,5001	3
37,9142	80,9022	0,9052	0,5001	3
37,9789	80,8707	0,903	0,5001	3
38,0436	80,8477	0,9008	0,5001	3
38,1083	80,8282	0,8987	0,5001	3
38,173	80,8053	0,8965	0,5001	3
38,2377	80,781	0,8944	0,5001	3
38,3024	80,7557	0,8922	0,5001	3
38,3671	80,7259	0,8901	0,5001	3
38,4318	80,7046	0,8879	0,5001	3
38,4965	80,6921	0,8858	0,5001	3
38,5612	80,6699	0,8836	0,5001	3
38,6259	80,6461	0,8814	0,5001	3
38,6906	80,621	0,8792	0,5	3
38,7553	80,5944	0,8772	0,5001	3
38,82	80,5647	0,8751	0,5001	3
38,8847	80,5286	0,8727	0,5001	3
38,9494	80,5041	0,8706	0,5001	3
39,0141	80,4837	0,8685	0,5001	3
39,0788	80,4648	0,8663	0,5001	3
39,1435	80,4431	0,8641	0,5001	3
39,2082	80,4197	0,8619	0,5001	3
39,2729	80,3946	0,8599	0,5001	3
39,3376	80,3727	0,8578	0,5001	3
39,4023	80,353	0,8555	0,5001	3
39,467	80,3303	0,8533	0,5001	3
39,5317	80,3099	0,8512	0,5001	3
