

 + Main results

   HIT=	5769,6 	MPa
   EIT=	229,37 	GPa
   E*=	252,06 	GPa

 + Hypothesis

   Poisson's ratio(nu)=	0,30 

 + Additional results

   HVIT=	534,32 	 Vickers
   CIT 0,001/30/5=	3,02 	%
   nIT=	18,69 %
   Fmax=	1,00 	mN
   hmax=	79,18 	nm
   S=	0,1004 	mN/nm
   F/S²=	99,2617 	nm²/mN
   hc=	71,68 	nm
   hr=	69,21 	nm
   hp=	64,47 	nm
   m=	1,4759 
   Epsilon=	0,75 
   R2=	1,000
   Ap=	173463,34 	nm²
   Welast=	5,85 pJ
   Wplast=	25,43 pJ
   Wtotal=	31,28 pJ
   Er=	206,64 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
2,4548	16,9318	0,0833	0,5004	1
2,5194	17,1729	0,0853	0,5004	1
2,584	17,4324	0,0875	0,5004	1
2,6486	17,6823	0,0897	0,5004	1
2,7132	17,915	0,0919	0,5004	1
2,7778	18,0923	0,094	0,5004	1
2,8424	18,2788	0,0962	0,5003	1
2,907	18,4726	0,0984	0,5003	1
2,9716	18,6878	0,1005	0,5003	1
3,0362	18,883	0,1026	0,5003	1
3,1008	19,0621	0,1048	0,5004	1
3,1654	19,23	0,107	0,5004	1
3,23	19,4418	0,1091	0,5004	1
3,2946	19,7042	0,1111	0,5003	1
3,3592	20,0135	0,1133	0,5003	1
3,4238	20,3095	0,1154	0,5003	1
3,4884	20,5753	0,1176	0,5004	1
3,553	20,8526	0,1197	0,5004	1
3,6176	21,1421	0,1219	0,5004	1
3,6822	21,4577	0,124	0,5004	1
3,7468	21,7242	0,1262	0,5004	1
3,8114	21,9772	0,1284	0,5004	1
3,876	22,2546	0,1305	0,5004	1
3,9406	22,5601	0,1326	0,5004	1
4,0052	22,8767	0,1347	0,5003	1
4,0698	23,1294	0,137	0,5003	1
4,1344	23,357	0,1392	0,5003	1
4,199	23,5625	0,1414	0,5003	1
4,2636	23,7536	0,1435	0,5003	1
4,3282	23,9539	0,1456	0,5004	1
4,3928	24,1664	0,1479	0,5004	1
4,4574	24,3603	0,15	0,5004	1
4,522	24,5412	0,1522	0,5004	1
4,5866	24,7014	0,1543	0,5004	1
4,6512	24,859	0,1565	0,5004	1
4,7158	25,0186	0,1586	0,5004	1
4,7804	25,1866	0,1607	0,5004	1
4,845	25,3525	0,1629	0,5004	1
4,9096	25,5161	0,1651	0,5004	1
4,9742	25,6729	0,1672	0,5004	1
5,0388	25,8178	0,1694	0,5004	1
5,1034	25,9532	0,1716	0,5003	1
5,168	26,0594	0,1737	0,5003	1
5,2326	26,1637	0,1759	0,5003	1
5,2972	26,2661	0,1781	0,5003	1
5,3618	26,3941	0,1802	0,5003	1
5,4264	26,5565	0,1823	0,5003	1
5,491	26,7671	0,1843	0,5003	1
5,5556	27,0325	0,1865	0,5003	1
5,6202	27,2866	0,1886	0,5003	1
5,6848	27,4961	0,1908	0,5003	1
5,7494	27,6594	0,193	0,5004	1
5,814	27,8111	0,1952	0,5004	1
5,8786	27,9719	0,1974	0,5004	1
5,9432	28,1835	0,1994	0,5004	1
6,0078	28,43	0,2015	0,5003	1
6,0724	28,7489	0,2037	0,5003	1
6,137	29,0502	0,2058	0,5003	1
6,2016	29,3375	0,2079	0,5003	1
6,2662	29,5955	0,2102	0,5003	1
6,3308	29,8284	0,2124	0,5003	1
6,3954	30,0338	0,2145	0,5003	1
6,46	30,2454	0,2167	0,5003	1
6,5246	30,4667	0,2188	0,5003	1
6,5892	30,703	0,2209	0,5003	1
6,6538	30,9124	0,223	0,5003	1
6,7184	31,1112	0,2252	0,5003	1
6,783	31,2967	0,2275	0,5003	1
6,8476	31,4604	0,2296	0,5003	1
6,9122	31,6194	0,2317	0,5003	1
6,9768	31,7919	0,2339	0,5003	1
7,0414	31,984	0,2361	0,5004	1
7,106	32,1846	0,2382	0,5003	1
7,1706	32,3619	0,2403	0,5003	1
7,2352	32,5328	0,2425	0,5003	1
7,2998	32,6983	0,2448	0,5004	1
7,3644	32,8291	0,2469	0,5004	1
7,429	32,9656	0,249	0,5004	1
7,4936	33,1093	0,2513	0,5004	1
7,5582	33,2635	0,2534	0,5004	1
7,6228	33,4122	0,2555	0,5003	1
7,6874	33,5485	0,2577	0,5003	1
7,752	33,6747	0,2599	0,5003	1
7,8166	33,8027	0,262	0,5003	1
7,8812	33,9431	0,264	0,5003	1
7,9458	34,0757	0,2662	0,5003	1
8,0104	34,2049	0,2683	0,5003	1
8,075	34,3324	0,2705	0,5003	1
8,1396	34,4775	0,2727	0,5004	1
8,2042	34,634	0,2748	0,5004	1
8,2688	34,7948	0,277	0,5003	1
8,3334	34,9374	0,2792	0,5004	1
8,398	35,0631	0,2813	0,5004	1
8,4626	35,1909	0,2835	0,5004	1
8,5272	35,333	0,2857	0,5004	1
8,5918	35,4949	0,2877	0,5004	1
8,6564	35,6619	0,2899	0,5004	1
8,721	35,8282	0,2921	0,5003	1
8,7856	35,991	0,2942	0,5003	1
8,8502	36,153	0,2963	0,5003	1
8,9148	36,3128	0,2985	0,5003	1
8,9794	36,4661	0,3007	0,5004	1
9,044	36,6151	0,3028	0,5004	1
9,1086	36,7644	0,3049	0,5004	1
9,1732	36,9289	0,3071	0,5004	1
9,2378	37,1276	0,3093	0,5003	1
9,3024	37,3518	0,3113	0,5003	1
9,367	37,6089	0,3135	0,5003	1
9,4316	37,839	0,3156	0,5003	1
9,4962	38,0411	0,3178	0,5004	1
9,5608	38,2017	0,32	0,5004	1
9,6254	38,3555	0,3222	0,5003	1
9,69	38,5025	0,3243	0,5003	1
9,7546	38,6339	0,3265	0,5003	1
9,8192	38,758	0,3287	0,5003	1
9,8838	38,8719	0,3308	0,5003	1
9,9484	39,0201	0,333	0,5003	1
10,013	39,1986	0,3351	0,5004	1
10,0776	39,452	0,3372	0,5004	1
10,1422	39,7498	0,3392	0,5003	1
10,2068	40,0669	0,3413	0,5003	1
10,2714	40,3484	0,3436	0,5003	1
10,336	40,5815	0,3457	0,5003	1
10,4006	40,7758	0,3479	0,5003	1
10,4652	40,954	0,3501	0,5003	1
10,5298	41,1294	0,3523	0,5004	1
10,5944	41,3016	0,3545	0,5004	1
10,659	41,447	0,3566	0,5003	1
10,7236	41,5861	0,3588	0,5003	1
10,7882	41,7188	0,361	0,5003	1
10,8528	41,8381	0,3632	0,5003	1
10,9174	41,9528	0,3653	0,5003	1
10,982	42,0637	0,3674	0,5003	1
11,0466	42,179	0,3696	0,5003	1
11,1112	42,3009	0,3718	0,5004	1
11,1758	42,4464	0,3739	0,5004	1
11,2404	42,6152	0,376	0,5004	1
11,305	42,7982	0,3781	0,5004	1
11,3696	42,9862	0,3803	0,5004	1
11,4342	43,1578	0,3824	0,5003	1
11,4988	43,3149	0,3846	0,5003	1
11,5634	43,4651	0,3868	0,5003	1
11,628	43,6137	0,3889	0,5003	1
11,6926	43,7602	0,391	0,5003	1
11,7572	43,9083	0,3932	0,5004	1
11,8218	44,0558	0,3954	0,5004	1
11,8864	44,2017	0,3975	0,5004	1
11,951	44,3324	0,3997	0,5004	1
12,0156	44,4564	0,4019	0,5004	1
12,0802	44,5716	0,404	0,5003	1
12,1448	44,6741	0,4062	0,5003	1
12,2094	44,7728	0,4083	0,5003	1
12,274	44,883	0,4105	0,5003	1
12,3386	44,99	0,4126	0,5003	1
12,4032	45,0946	0,4148	0,5003	1
12,4678	45,1916	0,417	0,5003	1
12,5324	45,2903	0,4192	0,5003	1
12,597	45,3909	0,4213	0,5003	1
12,6616	45,5202	0,4234	0,5003	1
12,7262	45,6579	0,4255	0,5003	1
12,7908	45,806	0,4278	0,5003	1
12,8554	45,9307	0,4298	0,5003	1
12,92	46,0471	0,4319	0,5003	1
12,9846	46,1536	0,4341	0,5003	1
13,0492	46,276	0,4363	0,5003	1
13,1138	46,4069	0,4385	0,5003	1
13,1784	46,5509	0,4406	0,5003	1
13,243	46,6875	0,4428	0,5003	1
13,3076	46,8196	0,4449	0,5003	1
13,3722	46,947	0,447	0,5003	1
13,4368	47,0733	0,4492	0,5003	1
13,5014	47,1985	0,4514	0,5003	1
13,566	47,3152	0,4536	0,5003	1
13,6306	47,4238	0,4557	0,5003	1
13,6952	47,5234	0,4578	0,5003	1
13,7598	47,6367	0,46	0,5003	1
13,8244	47,7515	0,4622	0,5003	1
13,889	47,8668	0,4643	0,5003	1
13,9536	47,998	0,4664	0,5003	1
14,0182	48,1347	0,4685	0,5003	1
14,0828	48,2772	0,4707	0,5004	1
14,1474	48,4141	0,4729	0,5003	1
14,212	48,5501	0,475	0,5003	1
14,2766	48,6913	0,4772	0,5003	1
14,3412	48,8394	0,4793	0,5003	1
14,4058	48,9921	0,4815	0,5003	1
14,4704	49,1511	0,4836	0,5003	1
14,535	49,2957	0,4858	0,5003	1
14,5996	49,4281	0,488	0,5003	1
14,6642	49,5531	0,4902	0,5003	1
14,7288	49,6832	0,4923	0,5003	1
14,7934	49,8197	0,4943	0,5003	1
14,858	49,9854	0,4965	0,5003	1
14,9226	50,1594	0,4987	0,5003	1
14,9872	50,3425	0,5008	0,5003	1
15,0518	50,5187	0,5029	0,5003	1
15,1164	50,6848	0,5051	0,5003	1
15,181	50,8261	0,5074	0,5003	1
15,2456	50,9614	0,5095	0,5003	1
15,3102	51,0934	0,5116	0,5003	1
15,3748	51,2214	0,5139	0,5003	1
15,4394	51,3468	0,516	0,5004	1
15,504	51,4704	0,5181	0,5004	1
15,5686	51,5915	0,5202	0,5003	1
15,6332	51,7152	0,5224	0,5003	1
15,6978	51,8413	0,5246	0,5003	1
15,7624	51,9526	0,5268	0,5003	1
15,827	52,0654	0,5289	0,5003	1
15,8916	52,1811	0,531	0,5003	1
15,9562	52,2958	0,5332	0,5003	1
16,0208	52,4168	0,5353	0,5003	1
16,0854	52,5512	0,5374	0,5003	1
16,15	52,7083	0,5396	0,5003	1
16,2146	52,8677	0,5418	0,5003	1
16,2792	53,0128	0,544	0,5003	1
16,3438	53,1498	0,5461	0,5003	1
16,4084	53,2832	0,5482	0,5003	1
16,473	53,4171	0,5503	0,5003	1
16,5376	53,5531	0,5525	0,5003	1
16,6022	53,69	0,5548	0,5003	1
16,6668	53,8072	0,5568	0,5003	1
16,7314	53,9287	0,559	0,5003	1
16,796	54,0548	0,5612	0,5003	1
16,8606	54,1863	0,5633	0,5003	1
16,9252	54,3255	0,5654	0,5003	1
16,9898	54,4762	0,5676	0,5003	1
17,0544	54,6266	0,5697	0,5003	1
17,119	54,7668	0,5719	0,5003	1
17,1836	54,883	0,5741	0,5003	1
17,2482	54,9894	0,5763	0,5003	1
17,3128	55,0929	0,5785	0,5003	1
17,3774	55,1983	0,5806	0,5003	1
17,442	55,3205	0,5827	0,5003	1
17,5066	55,4555	0,5848	0,5003	1
17,5712	55,6233	0,5869	0,5003	1
17,6358	55,786	0,5891	0,5003	1
17,7004	55,9447	0,5913	0,5003	1
17,765	56,1194	0,5934	0,5003	1
17,8296	56,2915	0,5956	0,5003	1
17,8942	56,4608	0,5977	0,5003	1
17,9588	56,6086	0,5999	0,5003	1
18,0234	56,7467	0,602	0,5003	1
18,088	56,8714	0,6042	0,5003	1
18,1526	56,9908	0,6064	0,5003	1
18,2172	57,1056	0,6085	0,5003	1
18,2818	57,2112	0,6107	0,5003	1
18,3464	57,3176	0,6129	0,5003	1
18,411	57,4245	0,6151	0,5003	1
18,4756	57,533	0,6171	0,5003	1
18,5402	57,6487	0,6193	0,5003	1
18,6048	57,7674	0,6215	0,5003	1
18,6694	57,8684	0,6237	0,5003	1
18,734	57,9602	0,6258	0,5003	1
18,7986	58,0438	0,6279	0,5003	1
18,8632	58,1335	0,6301	0,5003	1
18,9278	58,2261	0,6323	0,5003	1
18,9924	58,3223	0,6344	0,5003	1
19,057	58,4184	0,6366	0,5003	1
19,1216	58,5137	0,6387	0,5003	1
19,1862	58,6073	0,6408	0,5003	1
19,2508	58,7115	0,643	0,5003	1
19,3154	58,8182	0,6452	0,5003	1
19,38	58,9239	0,6473	0,5003	1
19,4446	59,0284	0,6494	0,5003	1
19,5092	59,1342	0,6516	0,5003	1
19,5738	59,2504	0,6537	0,5003	1
19,6384	59,3626	0,6559	0,5003	1
19,703	59,4713	0,658	0,5003	1
19,7676	59,566	0,6602	0,5003	1
19,8322	59,6603	0,6624	0,5003	1
19,8968	59,7541	0,6644	0,5003	1
19,9614	59,8677	0,6667	0,5004	1
20,026	59,9787	0,6689	0,5004	1
20,0906	60,0842	0,671	0,5004	1
20,1552	60,1991	0,6731	0,5004	1
20,2198	60,3232	0,6752	0,5003	1
20,2844	60,465	0,6774	0,5004	1
20,349	60,6176	0,6795	0,5003	1
20,4136	60,7746	0,6817	0,5003	1
20,4782	60,9354	0,6838	0,5004	1
20,5428	61,1068	0,686	0,5004	1
20,6074	61,2831	0,6881	0,5004	1
20,672	61,4555	0,6903	0,5004	1
20,7366	61,6106	0,6925	0,5003	1
20,8012	61,7529	0,6946	0,5003	1
20,8658	61,9096	0,6967	0,5003	1
20,9304	62,0593	0,6989	0,5003	1
20,995	62,201	0,7011	0,5003	1
21,0596	62,3187	0,7032	0,5003	1
21,1242	62,4295	0,7054	0,5003	1
21,1888	62,5323	0,7076	0,5003	1
21,2534	62,6295	0,7098	0,5003	1
21,318	62,726	0,7119	0,5003	1
21,3826	62,8235	0,714	0,5003	1
21,4472	62,9222	0,7162	0,5003	1
21,5118	63,0247	0,7184	0,5003	1
21,5764	63,1417	0,7205	0,5003	1
21,641	63,2584	0,7226	0,5003	1
21,7056	63,3737	0,7248	0,5004	1
21,7702	63,4751	0,727	0,5004	1
21,8348	63,5774	0,7291	0,5004	1
21,8994	63,6805	0,7312	0,5004	1
21,964	63,7824	0,7334	0,5004	1
22,0286	63,8814	0,7356	0,5004	1
22,0932	63,9769	0,7377	0,5004	1
22,1578	64,0677	0,7399	0,5004	1
22,2224	64,1621	0,742	0,5004	1
22,287	64,2645	0,7442	0,5004	1
22,3516	64,3681	0,7463	0,5004	1
22,4162	64,4765	0,7485	0,5004	1
22,4808	64,5984	0,7506	0,5003	1
22,5454	64,7236	0,7527	0,5003	1
22,61	64,8487	0,7548	0,5003	1
22,6746	64,9657	0,7571	0,5003	1
22,7392	65,0795	0,7593	0,5003	1
22,8038	65,1909	0,7614	0,5003	1
22,8684	65,2958	0,7636	0,5003	1
22,933	65,3947	0,7657	0,5003	1
22,9976	65,4877	0,7679	0,5003	1
23,0622	65,5885	0,77	0,5003	1
23,1268	65,6936	0,7721	0,5003	1
23,1914	65,8043	0,7743	0,5003	1
23,256	65,9129	0,7765	0,5003	1
23,3206	66,0157	0,7787	0,5003	1
23,3852	66,107	0,7808	0,5003	1
23,4498	66,2065	0,7829	0,5003	1
23,5144	66,3098	0,785	0,5003	1
23,579	66,4178	0,7872	0,5003	1
23,6436	66,535	0,7894	0,5003	1
23,7082	66,6632	0,7915	0,5003	1
23,7728	66,8357	0,7936	0,5003	1
23,8374	67,0026	0,7958	0,5003	1
23,902	67,1633	0,7979	0,5003	1
23,9666	67,2627	0,8001	0,5003	1
24,0312	67,3607	0,8023	0,5003	1
24,0958	67,4572	0,8045	0,5003	1
24,1604	67,554	0,8066	0,5003	1
24,225	67,6513	0,8087	0,5004	1
24,2896	67,7493	0,8109	0,5004	1
24,3542	67,8533	0,8131	0,5004	1
24,4188	67,955	0,8153	0,5004	1
24,4834	68,0485	0,8174	0,5004	1
24,548	68,1422	0,8195	0,5004	1
24,6126	68,24	0,8216	0,5004	1
24,6772	68,3541	0,8238	0,5004	1
24,7418	68,4681	0,826	0,5004	1
24,8064	68,5795	0,8282	0,5003	1
24,871	68,6675	0,8303	0,5003	1
24,9356	68,7494	0,8325	0,5003	1
25,0002	68,8262	0,8347	0,5003	1
25,0648	68,9196	0,8367	0,5003	1
25,1294	69,0203	0,8389	0,5003	1
25,194	69,1298	0,8411	0,5003	1
25,2586	69,227	0,8432	0,5003	1
25,3232	69,3212	0,8453	0,5003	1
25,3878	69,4125	0,8475	0,5003	1
25,4524	69,4959	0,8497	0,5003	1
25,517	69,5787	0,8518	0,5003	1
25,5816	69,6648	0,8539	0,5003	1
25,6462	69,7608	0,8561	0,5003	1
25,7108	69,861	0,8583	0,5003	1
25,7754	69,963	0,8604	0,5003	1
25,84	70,0667	0,8626	0,5003	1
25,9046	70,1711	0,8647	0,5003	1
25,9692	70,2723	0,8669	0,5003	1
26,0338	70,3688	0,8691	0,5003	1
26,0984	70,4612	0,8712	0,5002	1
26,163	70,5525	0,8734	0,5003	1
26,2276	70,6472	0,8755	0,5003	1
26,2922	70,7465	0,8776	0,5003	1
26,3568	70,8525	0,8798	0,5003	1
26,4214	70,9588	0,882	0,5003	1
26,486	71,0641	0,8842	0,5003	1
26,5506	71,1657	0,8863	0,5003	1
26,6152	71,2657	0,8884	0,5003	1
26,6798	71,3638	0,8906	0,5003	1
26,7444	71,458	0,8928	0,5003	1
26,809	71,5508	0,8949	0,5003	1
26,8736	71,6465	0,897	0,5003	1
26,9382	71,7502	0,8992	0,5003	1
27,0028	71,8598	0,9013	0,5003	1
27,0674	71,9758	0,9034	0,5003	1
27,132	72,0939	0,9056	0,5003	1
27,1966	72,2141	0,9078	0,5003	1
27,2612	72,342	0,9099	0,5003	1
27,3258	72,4662	0,9121	0,5003	1
27,3904	72,5843	0,9142	0,5003	1
27,455	72,7031	0,9164	0,5003	1
27,5196	72,8232	0,9185	0,5002	1
27,5842	72,9464	0,9207	0,5003	1
27,6488	73,0579	0,9228	0,5003	1
27,7134	73,1669	0,925	0,5003	1
27,778	73,2809	0,9271	0,5003	1
27,8426	73,4044	0,9293	0,5003	1
27,9072	73,5311	0,9315	0,5003	1
27,9718	73,6438	0,9336	0,5003	1
28,0364	73,752	0,9358	0,5003	1
28,101	73,8566	0,9379	0,5004	1
28,1656	73,9654	0,9401	0,5004	1
28,2302	74,0807	0,9422	0,5004	1
28,2948	74,2034	0,9443	0,5004	1
28,3594	74,3182	0,9465	0,5004	1
28,424	74,4221	0,9487	0,5004	1
28,4886	74,5087	0,9508	0,5004	1
28,5532	74,603	0,953	0,5004	1
28,6178	74,6988	0,9552	0,5004	1
28,6824	74,7942	0,9574	0,5004	1
28,747	74,893	0,9595	0,5004	1
28,8116	74,9929	0,9615	0,5004	1
28,8762	75,0923	0,9638	0,5004	1
28,9408	75,1942	0,966	0,5004	1
29,0054	75,2984	0,9681	0,5004	1
29,07	75,4107	0,9701	0,5003	1
29,1346	75,5278	0,9723	0,5004	1
29,1992	75,649	0,9746	0,5004	1
29,2638	75,7758	0,9767	0,5003	1
29,3284	75,9166	0,9787	0,5003	1
29,393	76,075	0,9809	0,5003	1
29,4576	76,2467	0,9831	0,5003	1
29,5222	76,4094	0,9852	0,5003	1
29,5868	76,5519	0,9874	0,5003	1
29,6514	76,6758	0,9896	0,5003	2
29,716	76,7933	0,9917	0,5003	2
29,7806	76,9058	0,9939	0,5004	2
29,8452	77,0131	0,996	0,5004	2
29,9098	77,118	0,998	0,5004	2
29,9744	77,2217	0,9995	0,5003	2
30,039	77,3155	1,0004	0,5003	2
30,1036	77,4017	1,0009	0,5003	2
30,1682	77,468	1,0008	0,5003	2
30,2328	77,5252	1,0008	0,5003	2
30,2974	77,5735	1,0008	0,5002	2
30,362	77,6099	1,0009	0,5002	2
30,4266	77,6456	1,0009	0,5002	2
30,4912	77,681	1,0008	0,5003	2
30,5558	77,7233	1,0008	0,5003	2
30,6204	77,7685	1,0008	0,5003	2
30,685	77,8177	1,0008	0,5003	2
30,7496	77,86	1,0008	0,5003	2
30,8142	77,9035	1,0008	0,5003	2
30,8788	77,9583	1,0008	0,5003	2
30,9434	78,0089	1,0008	0,5003	2
31,008	78,0557	1,0009	0,5003	2
31,0726	78,09	1,0008	0,5003	2
31,1372	78,1242	1,0008	0,5003	2
31,2018	78,1581	1,0008	0,5003	2
31,2664	78,1906	1,0009	0,5003	2
31,331	78,2228	1,0008	0,5004	2
31,3956	78,2549	1,0008	0,5004	2
31,4602	78,2751	1,0009	0,5004	2
31,5248	78,2956	1,0009	0,5004	2
31,5894	78,318	1,0008	0,5004	2
31,654	78,347	1,0008	0,5004	2
31,7186	78,3753	1,0008	0,5004	2
31,7832	78,3991	1,0008	0,5004	2
31,8478	78,4147	1,0008	0,5004	2
31,9124	78,4281	1,0008	0,5004	2
31,977	78,4451	1,0008	0,5004	2
32,0416	78,4629	1,0008	0,5004	2
32,1062	78,4816	1,0008	0,5004	2
32,1708	78,5056	1,0008	0,5003	2
32,2354	78,5211	1,0008	0,5003	2
32,3	78,5294	1,0008	0,5003	2
32,3646	78,5395	1,0008	0,5004	2
32,4292	78,5552	1,0008	0,5004	2
32,4938	78,5778	1,0007	0,5004	2
32,5584	78,5904	1,0008	0,5004	2
32,623	78,6014	1,0008	0,5004	2
32,6876	78,6114	1,0008	0,5004	2
32,7522	78,6355	1,0008	0,5004	2
32,8168	78,6595	1,0008	0,5004	2
32,8814	78,6736	1,0009	0,5004	2
32,946	78,6875	1,0008	0,5004	2
33,0106	78,7001	1,0008	0,5004	2
33,0752	78,7062	1,0008	0,5004	2
33,1398	78,7201	1,0008	0,5004	2
33,2044	78,7387	1,0008	0,5004	2
33,269	78,7566	1,0008	0,5004	2
33,3336	78,7714	1,0008	0,5004	2
33,3982	78,7833	1,0008	0,5004	2
33,4628	78,8006	1,0008	0,5004	2
33,5274	78,822	1,0008	0,5004	2
33,592	78,8488	1,0008	0,5004	2
33,6566	78,8728	1,0008	0,5004	2
33,7212	78,8933	1,0008	0,5004	2
33,7858	78,9071	1,0008	0,5004	2
33,8504	78,9341	1,0007	0,5004	2
33,915	78,9615	1,0007	0,5004	2
33,9796	78,9776	1,0007	0,5005	2
34,0442	78,9831	1,0008	0,5005	2
34,1088	78,9852	1,0009	0,5005	2
34,1734	78,9967	1,0009	0,5005	2
34,238	79,0095	1,0008	0,5005	2
34,3026	79,0232	1,0008	0,5005	2
34,3672	79,0358	1,0008	0,5004	2
34,4318	79,0495	1,0008	0,5004	2
34,4964	79,0644	1,0008	0,5004	2
34,561	79,0735	1,0008	0,5005	2
34,6256	79,0792	1,0008	0,5005	3
34,6902	79,0804	1,0008	0,5005	3
34,7548	79,0844	1,0008	0,5004	3
34,8194	79,091	1,0008	0,5004	3
34,884	79,1028	1,0007	0,5004	3
34,9486	79,111	1,0002	0,5004	3
35,0132	79,114	0,9994	0,5004	3
35,0778	79,1009	0,9977	0,5005	3
35,1424	79,0891	0,9957	0,5004	3
35,207	79,0767	0,9936	0,5004	3
35,2716	79,0545	0,9915	0,5004	3
35,3362	79,0335	0,9893	0,5004	3
35,4008	79,0136	0,9871	0,5004	3
35,4654	78,9932	0,9849	0,5004	3
35,53	78,9768	0,9827	0,5004	3
35,5946	78,9652	0,9806	0,5004	3
35,6592	78,9431	0,9784	0,5004	3
35,7238	78,9179	0,9762	0,5004	3
35,7884	78,8891	0,9741	0,5004	3
35,853	78,8623	0,972	0,5004	3
35,9176	78,8353	0,9699	0,5004	3
35,9822	78,8068	0,9678	0,5004	3
36,0468	78,7797	0,9655	0,5004	3
36,1114	78,7551	0,9633	0,5004	3
36,176	78,7392	0,9612	0,5004	3
36,2406	78,7175	0,959	0,5004	3
36,3052	78,6931	0,9568	0,5004	3
36,3698	78,6756	0,9547	0,5004	3
36,4344	78,6553	0,9526	0,5004	3
36,499	78,6325	0,9505	0,5004	3
36,5636	78,6113	0,9483	0,5004	3
36,6282	78,5897	0,9461	0,5004	3
36,6928	78,5676	0,9439	0,5004	3
36,7574	78,5466	0,9418	0,5004	3
36,822	78,5265	0,9396	0,5004	3
36,8866	78,5081	0,9375	0,5004	3
36,9512	78,4946	0,9354	0,5004	3
37,0158	78,4815	0,9332	0,5004	3
37,0804	78,4656	0,9311	0,5004	3
37,145	78,447	0,9289	0,5004	3
37,2096	78,4257	0,9267	0,5004	3
37,2742	78,3958	0,9246	0,5004	3
37,3388	78,3696	0,9224	0,5004	3
37,4034	78,3465	0,9202	0,5004	3
37,468	78,3356	0,9181	0,5004	3
37,5326	78,321	0,916	0,5004	3
37,5972	78,3029	0,9138	0,5004	3
37,6618	78,2873	0,9116	0,5005	3
37,7264	78,2749	0,9095	0,5005	3
37,791	78,2668	0,9074	0,5005	3
37,8556	78,2405	0,9052	0,5005	3
37,9202	78,2119	0,903	0,5004	3
37,9848	78,1844	0,9009	0,5004	3
38,0494	78,1593	0,8987	0,5004	3
38,114	78,1361	0,8966	0,5004	3
38,1786	78,1168	0,8944	0,5005	3
38,2432	78,0962	0,8923	0,5005	3
38,3078	78,0752	0,8902	0,5005	3
38,3724	78,0565	0,888	0,5005	3
38,437	78,035	0,8858	0,5005	3
38,5016	78,0114	0,8836	0,5004	3
38,5662	77,9855	0,8815	0,5004	3
38,6308	77,9604	0,8793	0,5004	3
38,6954	77,9362	0,8771	0,5004	3
38,76	77,9134	0,875	0,5004	3
38,8246	77,8888	0,8729	0,5004	3
38,8892	77,861	0,8708	0,5004	3
38,9538	77,8485	0,8686	0,5004	3
39,0184	77,8356	0,8664	0,5004	3
39,083	77,814	0,8643	0,5004	3
39,1476	77,794	0,8621	0,5005	3
39,2122	77,7746	0,8599	0,5005	3
39,2768	77,755	0,8578	0,5005	3
39,3414	77,7292	0,8557	0,5005	3
39,406	77,7006	0,8535	0,5005	3
39,4706	77,6788	0,8514	0,5004	3
