

 + Main results

   HIT=	5769,6 	MPa
   EIT=	229,37 	GPa
   E*=	252,06 	GPa

 + Hypothesis

   Poisson's ratio(nu)=	0,30 

 + Additional results

   HVIT=	534,32 	 Vickers
   CIT 0,001/30/5=	3,02 	%
   nIT=	18,69 %
   Fmax=	1,00 	mN
   hmax=	79,18 	nm
   S=	0,1004 	mN/nm
   F/S²=	99,2617 	nm²/mN
   hc=	71,68 	nm
   hr=	69,21 	nm
   hp=	64,47 	nm
   m=	1,4759 
   Epsilon=	0,75 
   R2=	1,000
   Ap=	173463,34 	nm²
   Welast=	5,85 pJ
   Wplast=	25,43 pJ
   Wtotal=	31,28 pJ
   Er=	206,64 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID

0	0	0	0,5004	0
0,0646	1,8524	0,0007	0,5004	1
0,1292	3,4285	0,0022	0,5004	1
0,1938	4,6695	0,0046	0,5004	1
0,2584	5,5204	0,008	0,5004	1
0,323	6,2652	0,0114	0,5004	1
0,3876	6,8934	0,0147	0,5005	1
0,4522	7,3315	0,017	0,5005	1
0,5168	7,7043	0,0191	0,5004	1
0,5814	8,02	0,0209	0,5004	1
0,646	8,4463	0,0228	0,5004	1
0,7106	8,9223	0,0249	0,5004	1
0,7752	9,4231	0,0271	0,5004	1
0,8398	9,847	0,0292	0,5004	1
0,9044	10,2212	0,0314	0,5004	1
0,969	10,5718	0,0336	0,5004	1
1,0336	10,9289	0,0358	0,5004	1
1,0982	11,2919	0,038	0,5004	1
1,1628	11,656	0,04	0,5004	1
1,2274	12,0389	0,0422	0,5004	1
1,292	12,4475	0,0444	0,5004	1
1,3566	12,7882	0,0465	0,5004	1
1,4212	13,1072	0,0487	0,5004	1
1,4858	13,4014	0,0509	0,5004	1
1,5504	13,7389	0,053	0,5004	1
1,615	14,0783	0,0551	0,5004	1
1,6796	14,3831	0,0573	0,5004	1
1,7442	14,6626	0,0595	0,5004	1
1,8088	14,9248	0,0618	0,5004	1
1,8734	15,1513	0,0639	0,5004	1
1,938	15,3574	0,066	0,5004	1
2,0026	15,5488	0,0682	0,5004	1
2,0672	15,7329	0,0704	0,5004	1
2,1318	15,9232	0,0726	0,5004	1
2,1964	16,1197	0,0747	0,5004	1
2,261	16,301	0,0768	0,5004	1
2,3256	16,4928	0,0789	0,5004	1
2,3902	16,7022	0,0812	0,5004	1
